Movie Name,Rating(10),Genre,Language,Description
X-Men,7.4,Action,English,Mutants struggle for coexistence in a human world.
X2,7.6,Action,English,Mutants face a threat that endangers both sides.
X-Men: Days of Future Past,8.0,Action,English,Mutants send Wolverine back in time to prevent extinction.
The Hunger Games,7.2,Action,English,A brave girl volunteers for a deadly televised competition.
The Hunger Games: Catching Fire,7.5,Action,English,Katniss becomes a symbol of rebellion.
The Hunger Games: Mockingjay Part 1,6.8,Action,English,Katniss leads a revolution against the Capitol.
The Hunger Games: Mockingjay Part 2,6.5,Action,English,The rebellion reaches its final and most dangerous stage.
Dune,8.1,Sci-Fi,English,A young heir becomes leader in a desert planet’s struggle.
Inception,8.8,"Sci-Fi, Thriller",English,A thief enters dreams to steal secrets but faces a deadly mission.
The Dark Knight,9.0,"Action, Crime",English,"Batman faces the Joker, who brings chaos to Gotham City."
Interstellar,8.6,"Sci-Fi, Adventure",English,A team travels through a wormhole to save humanity.]
Titanic,7.9,"Romance, Drama",English,A rich girl and a poor artist fall in love on the doomed ship.]
Avatar,7.8,"Sci-Fi, Adventure",English,A marine joins aliens on Pandora and fights for their survival.]
The Avengers,8.0,"Action, Sci-Fi",English,Earth's heroes unite to stop Loki and his alien army.]
Joker,8.4,"Crime, Drama",English,A failed comedian becomes the infamous criminal Joker.]
The Shawshank Redemption,9.3,Drama,English,A banker wrongly imprisoned forms a deep friendship in jail.]
Forrest Gump,8.8,"Drama, Romance",English,A slow-witted man lives an extraordinary life through decades.]
The Matrix,8.7,"Sci-Fi, Action",English,A hacker discovers the truth about the simulated reality.]
Gladiator,8.5,"Action, Drama",English,A betrayed general seeks revenge as a gladiator.]
Frozen,7.4,"Animation, Family",English,"Two sisters navigate love, fear, and magic in a winter kingdom."
Finding Nemo,8.1,"Animation, Adventure",English,A clownfish searches the ocean for his missing son.
Toy Story,8.3,"Animation, Comedy",English,Toys come to life and navigate friendship and jealousy.
The Lion King,8.5,"Animation, Drama",English,A young lion must reclaim his kingdom from his uncle.
Avengers: Endgame,8.4,"Action, Sci-Fi",English,Heroes unite to reverse Thanos' devastating snap.
Avengers: Infinity War,8.4,"Action, Sci-Fi",English,The Avengers battle Thanos to stop universal destruction.
La La Land,8.0,"Romance, Musical",English,An actress and a musician pursue dreams and love in LA.
The Conjuring,7.5,"Horror, Thriller",English,Paranormal investigators help a family haunted by spirits.
IT,7.3,"Horror, Thriller",English,Kids face an ancient evil clown terrorizing their town.
The Prestige,8.5,"Drama, Mystery",English,Rival magicians battle through obsession and deception.
Dune,8.0,"Sci-Fi, Adventure",English,A gifted young man must protect his desert planet from war.
Mad Max: Fury Road,8.1,"Action, Adventure",English,A survivor helps rebels escape a tyrant in a desert wasteland.
Deadpool,8.0,"Action, Comedy",English,A mercenary becomes a wise-cracking anti-hero.
Black Panther,7.3,"Action, Adventure",English,The king of Wakanda faces a powerful challenger.
Shutter Island,8.2,"Thriller, Mystery",English,A detective investigates a missing patient on a remote island.
The Social Network,7.7,"Drama, Biography",English,The creation of Facebook leads to conflicts and lawsuits.
Iron Man,7.9,"Action, Sci-Fi",English,A billionaire builds a high-tech suit to fight evil.
Doctor Strange,7.5,"Action, Fantasy",English,A surgeon seeks mystical training after a life-changing accident.
John Wick,7.4,"Action, Thriller",English,A retired hitman seeks revenge for his dog’s death.
